Date,Action,Symbol,Description,Price,Quantity,Amount
2/7/24,Buy to Open,LLY 02/09/2024 735.00 C,CALL LILLY ELI & CO $735 EXP 02/09/24,$3.55 ,1,($355.66)
2/7/24,Sell to Close,BABA 01/17/2025 100.00 C,CALL ALIBABA GROUP HLDG $100 EXP 01/17/25,$4.35 ,1,$434.34 
2/7/24,Sell to Close,LLY 02/16/2024 750.00 C,CALL LILLY ELI & CO $750 EXP 02/16/24,$5.65 ,2,"$1,128.66 "
2/7/24,Buy to Open,LLY 02/16/2024 750.00 C,CALL LILLY ELI & CO $750 EXP 02/16/24,$4.43 ,1,($443.66)
2/7/24,Buy to Open,LLY 02/16/2024 750.00 C,CALL LILLY ELI & CO $750 EXP 02/16/24,$6.35 ,1,($635.66)
2/7/24,Buy to Open,BABA 01/17/2025 100.00 C,CALL ALIBABA GROUP HLDG $100 EXP 01/17/25,$4.25 ,1,($425.66)
2/6/24,Sell to Close,LRCX 02/16/2024 900.00 C,CALL LAM RESEARCH CORP $900 EXP 02/16/24,$1.98 ,1,$197.34 
2/6/24,Sell to Close,NVDA 02/16/2024 680.00 C,CALL NVIDIA CORP $680 EXP 02/16/24,$19.37 ,1,"$1,936.32 "
2/6/24,Sell to Close,NVDA 02/09/2024 710.00 C,CALL NVIDIA CORP $710 EXP 02/09/24,$3.70 ,1,$369.34 
2/6/24,Sell to Close,NVDA 02/09/2024 700.00 C,CALL NVIDIA CORP $700 EXP 02/09/24,$5.15 ,1,$514.34 
2/6/24,Buy to Open,NVDA 02/16/2024 680.00 C,CALL NVIDIA CORP $680 EXP 02/16/24,$17.45 ,1,"($1,745.66)"
2/6/24,Buy to Open,NVDA 02/09/2024 700.00 C,CALL NVIDIA CORP $700 EXP 02/09/24,$4.59 ,1,($459.66)
2/6/24,Buy to Open,NVDA 02/09/2024 710.00 C,CALL NVIDIA CORP $710 EXP 02/09/24,$3.18 ,1,($318.66)
2/6/24,Buy to Open,LRCX 02/16/2024 900.00 C,CALL LAM RESEARCH CORP $900 EXP 02/16/24,$2.18 ,1,($218.66)
2/5/24,Sell to Close,UNH 02/16/2024 500.00 P,PUT UNITEDHEALTH GRP INC$500 EXP 02/16/24,$3.35 ,1,$334.34 
2/5/24,Buy to Open,UNH 02/16/2024 500.00 P,PUT UNITEDHEALTH GRP INC$500 EXP 02/16/24,$3.35 ,1,($335.66)
2/2/24,Sell to Close,MSFT 02/09/2024 410.00 C,CALL MICROSOFT CORP $410 EXP 02/09/24,$3.86 ,1,$385.34 
2/2/24,Buy to Open,MSFT 02/09/2024 410.00 C,CALL MICROSOFT CORP $410 EXP 02/09/24,$2.81 ,1,($281.66)
1/26/24,Sell to Close,SPY 01/26/2024 483.00 P,PUT SPDR S&P 500 $483 EXP 01/26/24,$0.05 ,10,$43.36 
1/26/24,Buy to Open,SPY 01/26/2024 483.00 P,PUT SPDR S&P 500 $483 EXP 01/26/24,$0.06 ,5,($33.30)
1/25/24,Buy to Open,SPY 01/26/2024 483.00 P,PUT SPDR S&P 500 $483 EXP 01/26/24,$0.15 ,5,($78.30)
1/24/24,Sell to Close,UNH 01/26/2024 525.00 C,CALL UNITEDHEALTH GRP IN$525 EXP 01/26/24,$1.00 ,1,$99.34 
1/24/24,Sell to Close,BB 02/02/2024 3.00 C,CALL BLACKBERRY LTD $3 EXP 02/02/24,$0.11 ,1,$10.34 
1/24/24,Buy to Open,UNH 01/26/2024 525.00 C,CALL UNITEDHEALTH GRP IN$525 EXP 01/26/24,$1.60 ,1,($160.66)
1/24/24,Sell to Close,BB 01/26/2024 3.00 C,CALL BLACKBERRY LTD $3 EXP 01/26/24,$0.18 ,1,$17.34 
1/24/24,Buy to Open,BB 02/02/2024 3.00 C,CALL BLACKBERRY LTD $3 EXP 02/02/24,$0.23 ,1,($23.66)
1/24/24,Buy to Open,BB 01/26/2024 3.00 C,CALL BLACKBERRY LTD $3 EXP 01/26/24,$0.19 ,1,($19.66)
1/23/24,Sell to Close,AAPL 01/26/2024 200.00 C,CALL APPLE INC $200 EXP 01/26/24,$0.16 ,1,$15.34 
1/23/24,Buy to Open,AAPL 01/26/2024 200.00 C,CALL APPLE INC $200 EXP 01/26/24,$0.17 ,1,($17.66)
1/23/24,Sell to Close,CAT 02/02/2024 300.00 C,CALL CATERPILLAR INC $300 EXP 02/02/24,$1.06 ,2,$210.67 
1/23/24,Buy to Open,CAT 02/02/2024 300.00 C,CALL CATERPILLAR INC $300 EXP 02/02/24,$1.12 ,2,($225.32)
1/23/24,Sell to Close,CAT 02/02/2024 300.00 C,CALL CATERPILLAR INC $300 EXP 02/02/24,$1.23 ,3,$367.01 
1/23/24,Buy to Open,CAT 02/02/2024 300.00 C,CALL CATERPILLAR INC $300 EXP 02/02/24,$1.34 ,3,($403.98)
1/23/24,Sell to Close,MSFT 02/02/2024 405.00 C,CALL MICROSOFT CORP $405 EXP 02/02/24,$5.98 ,1,$597.34 
1/23/24,Sell to Close,NVDA 02/02/2024 620.00 C,CALL NVIDIA CORP $620 EXP 02/02/24,$6.66 ,1,$665.33 
1/23/24,Sell to Close,CAT 02/02/2024 300.00 C,CALL CATERPILLAR INC $300 EXP 02/02/24,$2.02 ,2,$402.67 
1/23/24,Buy to Open,NVDA 02/02/2024 620.00 C,CALL NVIDIA CORP $620 EXP 02/02/24,$6.10 ,1,($610.66)
1/23/24,Buy to Open,MSFT 02/02/2024 405.00 C,CALL MICROSOFT CORP $405 EXP 02/02/24,$6.00 ,1,($600.66)
1/23/24,Buy to Open,CAT 02/02/2024 300.00 C,CALL CATERPILLAR INC $300 EXP 02/02/24,$1.73 ,2,($347.32)
1/22/24,Sell to Close,SPXW 01/24/2024 4810.00 P,PUT S & P 500 INDEX $4810 EXP 01/24/24,$5.40 ,1,$538.82 
1/22/24,Buy to Open,SPXW 01/24/2024 4810.00 P,PUT S & P 500 INDEX $4810 EXP 01/24/24,$4.00 ,1,($401.18)
1/22/24,Sell to Close,AMD 02/02/2024 180.00 C,CALL ADVANCED MICRO DEVI$180 EXP 02/02/24,$3.70 ,1,$369.34 
1/22/24,Sell to Close,SNOW 01/26/2024 205.00 C,CALL SNOWFLAKE INC $205 EXP 01/26/24,$2.69 ,2,$536.67 
1/22/24,Sell to Close,SPXW 01/24/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/24/24,$0.85 ,1,$83.91 
1/22/24,Buy to Open,SPXW 01/24/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/24/24,$0.90 ,1,($91.09)
1/22/24,Buy to Open,SNOW 01/26/2024 205.00 C,CALL SNOWFLAKE INC $205 EXP 01/26/24,$2.28 ,2,($457.32)
1/22/24,Buy to Open,AMD 02/02/2024 180.00 C,CALL ADVANCED MICRO DEVI$180 EXP 02/02/24,$4.30 ,1,($430.66)
1/22/24,Sell to Close,ADBE 01/26/2024 622.50 C,CALL ADOBE INC $622.5 EXP 01/26/24,$5.65 ,1,$564.34 
1/22/24,Sell to Close,SPXW 01/22/2024 4900.00 C,CALL S & P 500 INDEX $4900 EXP 01/22/24,$0.65 ,1,$63.91 
1/22/24,Sell to Close,SPXW 01/24/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/24/24,$0.75 ,1,$73.91 
1/22/24,Sell to Close,SNOW 01/26/2024 202.50 C,CALL SNOWFLAKE INC $202.5 EXP 01/26/24,$3.04 ,1,$303.34 
1/22/24,Sell to Close,SNOW 01/26/2024 200.00 C,CALL SNOWFLAKE INC $200 EXP 01/26/24,$3.92 ,2,$782.66 
1/22/24,Buy to Open,SNOW 01/26/2024 202.50 C,CALL SNOWFLAKE INC $202.5 EXP 01/26/24,$2.56 ,1,($256.66)
1/22/24,Sell to Close,SPXW 01/23/2024 4755.00 P,PUT S & P 500 INDEX $4755 EXP 01/23/24,$0.50 ,1,$48.91 
1/22/24,Sell to Close,SPXW 01/23/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/23/24,$0.45 ,1,$43.91 
1/22/24,Buy to Open,SPXW 01/24/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/24/24,$0.80 ,1,($81.09)
